Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.springframework.boot:spring-boot-starter-tomcat,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-tomcat:3.4.1,gav://org.springframework.boot:spring-boot-starter-tomcat,3.4.1
org.springframework.boot:spring-boot-starter-web,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-web:3.4.1,gav://org.springframework.boot:spring-boot-starter-web,3.4.1
org.springframework.boot:spring-boot-starter-web-services,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-web-services:3.4.1,gav://org.springframework.boot:spring-boot-starter-web-services,3.4.1
org.springframework.cloud:spring-cloud-commons,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.cloud:spring-cloud-commons:4.2.0,gav://org.springframework.cloud:spring-cloud-commons,4.2.0
org.springframework.cloud:spring-cloud-config-client,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.cloud:spring-cloud-config-client:4.2.0,gav://org.springframework.cloud:spring-cloud-config-client,4.2.0
org.springframework.cloud:spring-cloud-context,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.cloud:spring-cloud-context:4.2.0,gav://org.springframework.cloud:spring-cloud-context,4.2.0
org.springframework.cloud:spring-cloud-starter,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.cloud:spring-cloud-starter:4.2.0,gav://org.springframework.cloud:spring-cloud-starter,4.2.0
org.springframework.cloud:spring-cloud-starter-bootstrap,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.cloud:spring-cloud-starter-bootstrap:4.2.0,gav://org.springframework.cloud:spring-cloud-starter-bootstrap,4.2.0
org.springframework.data:spring-data-commons,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.data:spring-data-commons:3.4.1,gav://org.springframework.data:spring-data-commons,3.4.1
org.springframework.data:spring-data-jpa,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.data:spring-data-jpa:3.4.1,gav://org.springframework.data:spring-data-jpa,3.4.1
